

/Gem Systems GSMP-25 001608C v7.0 2 X 2019  ek2l@v7o                           
/ID 1 file 01survey.wm  27 IX 22
/UTC+01
/31P
/GPS datum WGS84 
/00000000
/Easting Northing elevation nT li cor-nT sat time picket-x picket-y 
/line  000000
 0322921.28  1019720.12  000529 033736.8463 1   00000.0000 11 095437.00 00246NE 0000000 N  
 032975.6661 i004 0322791.73 1019725.32 000522 033705.0861 1 00000.0000 11 095838.00 * * 
 033055.0289 i004 0322790.70 1019724.71 000522 033784.4289 1 00000.0000 11 095839.00 * * 
 033193.5000 i--- 0322789.88 1019723.70 000522 033922.8800 1 00000.0000 11 095840.00 * * 
 033291.4814 i004 0322789.18 1019723.09 000522 034020.8414 1 00000.0000 11 095841.00 * * 
 033173.1699 i004 0322788.24 1019722.16 000522 033902.5199 1 00000.0000 11 095842.00 * * 
 033012.8670 i004 0322787.44 1019721.33 000522 033742.1970 1 00000.0000 11 095843.00 * * 
 032966.7408 i--- 0322786.45 1019720.24 000521 033696.0508 1 00000.0000 11 095844.00 * * 
 032974.2149 i004 0322785.31 1019719.32 000521 033703.4649 1 00000.0000 11 095845.00 * * 
 032974.5364 i004 0322784.30 1019718.60 000521 033703.7264 1 00000.0000 10 095846.00 * * 
 032964.7368 i004 0322783.09 1019718.03 000521 033693.8668 1 00000.0000 10 095847.00 * * 
 032971.7716 i--- 0322781.84 1019717.41 000521 033700.8416 1 00000.0000 09 095848.00 * * 
 032984.6489 i004 0322780.51 1019716.98 000521 033713.6789 1 00000.0000 09 095849.00 * * 
 032991.3701 i004 0322779.36 1019716.88 000521 033720.3601 1 00000.0000 09 095850.00 * * 
 032992.0481 i004 0322778.20 1019716.60 000521 033720.9881 1 00000.0000 10 095851.00 * * 
 032984.8801 i--- 0322777.03 1019716.01 000521 033713.7801 1 00000.0000 10 095852.00 * * 
 032970.9981 i004 0322775.94 1019715.47 000520 033699.8881 1 00000.0000 10 095853.00 * * 
 032962.8554 i004 0322775.07 1019714.97 000520 033691.7454 1 00000.0000 10 095854.00 * * 
 032957.4576 i004 0322774.26 1019714.78 000520 033686.3376 1 00000.0000 10 095855.00 * * 
 032948.5765 i--- 0322773.21 1019714.00 000520 033677.4465 1 00000.0000 10 095856.00 * * 
 032938.4791 i004 0322772.14 1019713.01 000520 033667.3091 1 00000.0000 10 095857.00 * * 
 032927.3234 i004 0322771.10 1019712.15 000520 033656.1134 1 00000.0000 10 095858.00 * * 
 032913.3945 i004 0322769.92 1019711.46 000520 033642.1345 1 00000.0000 10 095859.00 * * 
 032901.2456 i--- 0322768.98 1019710.69 000520 033629.9456 1 00000.0000 10 095900.00 * * 
 032888.0021 i004 0322767.95 1019709.82 000520 033616.6821 1 00000.0000 10 095901.00 * * 
