LONG,LAT,Cor_nT
322656.23,1019715.39,33005.3336
322656.23,1019715.4,33005.3152
322656.23,1019715.39,33005.3103
322656.24,1019715.39,33005.3188
322656.23,1019715.4,33005.3012
322656.23,1019715.4,33005.2946
322656.23,1019715.4,33005.2993
322656.22,1019715.4,33005.3112
322656.25,1019715.42,33005.323
322656.31,1019715.45,33005.2977
322656.31,1019715.43,33005.2984
322656.31,1019715.42,33005.3036
322656.32,1019715.42,33005.3164
322656.32,1019715.41,33005.313
322656.33,1019715.41,33005.2687
322656.33,1019715.4,33005.2362
322656.31,1019715.39,33005.1962
322656.31,1019715.4,33005.1691
322656.31,1019715.39,33005.207
322656.32,1019715.39,33005.2323
322656.32,1019715.39,33005.265
322656.31,1019715.35,33005.3328
322656.33,1019715.38,33005.3636
322656.27,1019715.41,33005.3723
322656.34,1019715.37,33005.1913
322656.36,1019715.38,33005.2481
322656.36,1019715.37,33005.2561
322656.36,1019715.35,33005.2585
322656.35,1019715.34,33005.2657
322656.35,1019715.32,33005.2617
322656.37,1019715.31,33005.3101
322656.38,1019715.34,33005.4253
322656.37,1019715.27,33005.4967
322656.39,1019715.3,33005.4913
322656.38,1019715.29,33005.4492
322656.39,1019715.3,33005.4407
322656.38,1019715.29,33005.4242
322656.37,1019715.29,33005.4054
322656.39,1019715.29,33005.4209
322656.4,1019715.29,33005.4363
322656.38,1019715.28,33005.4512
322656.39,1019715.28,33005.4746
322656.38,1019715.28,33005.4699
322656.39,1019715.27,33005.4616
322656.39,1019715.27,33005.451
322656.41,1019715.27,33005.4411
322656.4,1019715.27,33005.4268
322656.4,1019715.27,33005.4157
322656.41,1019715.27,33005.4008
322656.41,1019715.27,33005.3732
322656.42,1019715.28,33005.362
322656.42,1019715.28,33005.3645
322656.41,1019715.27,33005.3779
322656.41,1019715.27,33005.4172
322656.41,1019715.28,33005.3935
322656.41,1019715.28,33005.3629
322656.4,1019715.28,33005.3341
322656.4,1019715.28,33005.3093
322656.41,1019715.3,33005.3139
322656.41,1019715.29,33005.3012
322656.43,1019715.28,33005.2901
322656.42,1019715.3,33005.3018
322656.41,1019715.29,33005.3154
322656.42,1019715.3,33005.3261
322656.43,1019715.32,33005.3302
322656.42,1019715.32,33005.3502
322656.42,1019715.32,33005.3478
322656.42,1019715.32,33005.3453
322656.44,1019715.31,33005.3568
322656.41,1019715.32,33005.402
322656.35,1019715.44,33005.4167
322656.44,1019715.36,33005.2392
322656.44,1019715.38,33005.2499
322656.45,1019715.36,33005.2104
322656.47,1019715.38,33005.247
322656.46,1019715.39,33005.2615
322656.46,1019715.39,33005.2869
322656.46,1019715.38,33005.3282
322656.46,1019715.38,33005.2957
322656.46,1019715.38,33005.2668
322656.46,1019715.38,33005.2441
322656.46,1019715.39,33005.2279
322656.45,1019715.34,33005.2419
322656.33,1019715.22,33005.1388
322656.32,1019715.24,33005.1448
322656.35,1019715.5,33005.0429
322656.34,1019715.54,33005.0222
322656.46,1019715.34,33005.0053
322656.43,1019715.27,33005.2237
322656.45,1019715.32,33005.2961
322656.39,1019715.36,33005.3063
322656.41,1019715.36,33005.3125
322656.41,1019715.35,33005.3145
322656.42,1019715.35,33005.2934
322656.42,1019715.35,33005.3283
322656.42,1019715.34,33005.3483
322656.43,1019715.34,33005.3808
322656.43,1019715.34,33005.3996
322656.43,1019715.33,33005.3928
322656.43,1019715.34,33005.3799
322656.42,1019715.34,33005.3809
322656.42,1019715.31,33005.3789
322656.38,1019715.32,33005.3916
322656.38,1019715.32,33005.3922
322656.39,1019715.31,33005.3679
322656.38,1019715.3,33005.3433
322656.39,1019715.29,33005.3396
322656.38,1019715.28,33005.2941
322656.38,1019715.28,33005.1897
322656.38,1019715.27,33005.2642
322656.37,1019715.27,33005.1892
322656.38,1019715.27,33005.4662
322656.37,1019715.27,33005.6806
322656.34,1019715.25,33005.8958
322656.32,1019715.24,33006.3433
322656.32,1019715.23,33007.3239
322656.33,1019715.22,33005.9954
322656.3,1019715.24,33004.218
322656.3,1019715.22,33003.6017
322656.39,1019715.04,33003.7666
322656.31,1019714.93,33003.7497
322656.27,1019714.85,33003.7879
322656.28,1019714.83,33003.7938
322656.29,1019714.89,33003.802
322656.29,1019714.91,33003.732
